id,name
939.0,West 146th Street
940.0,West 146th Street
941.0,65th Street Transverse
942.0,Pike Street
943.0,Pike Street
944.0,Pike Street
945.0,Water Street
946.0,FDR Drive
947.0,Water Street
948.0,East 111th Street
949.0,Exchange Alley
950.0,Jefferson Street
951.0,Maiden Lane
952.0,Dey Street
953.0,East 5th Walk
954.0,Dongan Place
955.0,West 130th Street
956.0,West 130th Street
957.0,West 64th Street
958.0,West 130th Street
959.0,65th Street Transverse
960.0,East 69th Street
961.0,East 116th Street
962.0,12th Avenue
963.0,Seaman Avenue
964.0,East 85th Street
965.0,West 139th Street
966.0,Minetta Lane
967.0,West 135th Street
968.0,Varick Street
969.0,Mac Dougal Alley
970.0,Prince Street
971.0,Moore Street
972.0,Pinehurst Avenue
973.0,Pinehurst Avenue
974.0,East 100th Street
975.0,East 100th Street
976.0,West 184th Street
977.0,Catherine Lane
978.0,East 28th Street
979.0,Thayer Street
980.0,East 25th Street
981.0,West 161st Street
982.0,Sutton Square
983.0,Bialystoker Place
984.0,West 188th Street
985.0,Mitchell Place
986.0,East 105th Street
987.0,Broadway Terrace
988.0,Essex Street
989.0,West 172nd Street
990.0,West 67th Street
991.0,East Broadway
992.0,West 128th Street
993.0,River Road
994.0,East 105th Street
995.0,Park Avenue
996.0,West 41st Street
998.0,Crosby Street
999.0,Park Avenue
1000.0,Hudson Street
1001.0,Baruch Drive
1002.0,Sheriff Street
1003.0,East 109th Street
1004.0,East 79th Street
1005.0,West 177th Street
1008.0,East 50th Street
1009.0,West 117th Street
1011.0,West 101st Street
1012.0,West 95th Street
1013.0,East 62nd Street
1014.0,Jay Street
1015.0,Vesey Place
1016.0,Vesey Street
1017.0,West 177th Street
1018.0,West 166th Street
1019.0,East 19th Street
1020.0,West 166th Street
1021.0,Wanamaker Place
1022.0,Isham Street
1023.0,East 36th Street
1024.0,Orchard Street
1025.0,Washington Street
1026.0,Washington Street
1027.0,Gold Street
1028.0,Washington Street
1029.0,West 4th Street
1030.0,Rutherford Place
1031.0,West 4th Street
1032.0,West 4th Street
1033.0,Thames Street
1034.0,Tunnel Exit Street
1035.0,Flatlands 3rd Street
1036.0,East 88th Street
1037.0,West 101st Street
1038.0,East 88th Street
1039.0,Duryea Court
1040.0,Bank Street
1041.0,East 40th Street
1042.0,East 40th Street
1043.0,East 40th Street
1044.0,Fort George Hill
1045.0,Regent Place
1046.0,East 43rd Street
1047.0,12th Avenue
1048.0,Tapscott Street
1049.0,Schweikerts Walk
1050.0,Jackson Court
1051.0,East 43rd Street
1052.0,Fort Hamilton Parkway
1053.0,Cardinal Hayes Place
1057.0,Gold Street
1059.0,Tunnel Exit Street
1062.0,Marion Street
1063.0,Tapscott Street
1064.0,Aster Court
1068.0,Paerdegat 4th Street
1075.0,Evans Road
1076.0,West 35th Street
1082.0,East 33rd Street
1086.0,Frederick Douglass Circle
1092.0,Emmons Avenue
1095.0,First Division Avenue
1102.0,East 64th Street
1103.0,Saint Lukes Place
1133.0,Brooklyn-Queens Expressway
1145.0,Roosevelt Place
1147.0,Oriental Boulevard
1149.0,East 32nd Street
1150.0,Oriental Boulevard
1153.0,East 32nd Street
1154.0,Atlantic Avenue
1155.0,Willow Place
1156.0,Downing Street
1157.0,Imlay Street
1158.0,New Utrecth Avenue
1159.0,Fulton Street
1160.0,Fulton Street
1161.0,East 19th Street
1162.0,East 19th Street
1163.0,East 19th Street
1164.0,East 32nd Street
1165.0,3rd Avenue
1167.0,3rd Avenue
1168.0,Bay 54th Street
1169.0,Hall Street
1170.0,Bond Street
1171.0,Garland Court
1172.0,Seba Avenue
1173.0,Kane Place
1174.0,Bushwick Court
1175.0,Railroad Avenue
1176.0,South Street
1177.0,Cobek Court
1178.0,Highland Avenue
1179.0,West 2nd Street
1180.0,West 2nd Street
1181.0,West 2nd Street
1182.0,Lewis Avenue
1183.0,Lewis Avenue
1184.0,Ames Lane
1185.0,Clermont Avenue
1186.0,Midwood Street
1187.0,Midwood Street
1188.0,Ira Court
1189.0,Miller Avenue
1190.0,25th Street
1191.0,25th Street
1192.0,Vermont Court
1193.0,Harbor View Terrace
1194.0,Hinckley Place
1195.0,Bay 22nd Street
1196.0,Lenox Road
1197.0,Lenox Road
1198.0,Lenox Road
1199.0,John Berry Boulevard
1200.0,Visitation Place
1201.0,Coles Street
1202.0,Kingston Avenue
1203.0,Thornton Street
1204.0,Woodrow Court
1205.0,Lake Street
1206.0,Lake Street
1207.0,South 5th Place
1208.0,Hill Drive
1209.0,Brighton 1st Walk
1210.0,West 21st Street
1211.0,East 56th Street
1212.0,East 56th Street
1213.0,East 56th Street
1214.0,Graham Avenue
1215.0,Graham Avenue
1216.0,Bryant Street
1217.0,Sea Gate Avenue
1218.0,Varkens Hook Road
1219.0,Brighton 3rd Street
1221.0,Via Vespucci
1222.0,New Utrecht Avenue
1223.0,New Utrecht Avenue
1224.0,Dahl Court
1226.0,Bradford Street
1227.0,Herkimer Place
1228.0,Verona Place
1230.0,West 124th Street
1231.0,Butler Street
1232.0,Little Nassau Street
1233.0,Montauk Avenue
1234.0,Remsen Avenue
1235.0,Roosevelt Court
1237.0,East Drive
1238.0,West 35th Street
1239.0,West 35th Street
1240.0,Truxton Street
1241.0,Washington Walk
1242.0,Dyker Place
1243.0,Bartlett Place
1244.0,Engert Avenue
1245.0,Bay Parkway
1246.0,Bay Parkway
1247.0,Brighton 3rd Street
1248.0,Keen Court
1249.0,Bay Parkway
1250.0,Kingsborough 4th Walk
1251.0,Bay 48th Street
1252.0,Paidge Avenue
1253.0,Catherine Street
1254.0,Jodie Court
1255.0,Rockwell Place
1256.0,Kent Avenue
1257.0,Gatling Place
1258.0,27th Avenue
1259.0,Center Market Street
1260.0,49th Street
1261.0,Mc Kenny Street
1262.0,Skidmore Lane
1263.0,Saint Charles Place
1265.0,19th Street
1266.0,Pioneer Street
1267.0,6th Street
1268.0,East 83rd Street
1269.0,East 108th Street
1270.0,Lawton Street
1271.0,Krier Place
1272.0,Sumpter Street
1273.0,Montauk Avenue
1274.0,Seaview Avenue
1275.0,Seaview Avenue
1276.0,Seaview Avenue
1277.0,Linwood Street
1278.0,Linwood Street
1279.0,Brighton 13th Street
1280.0,Carlton Avenue
1281.0,Shore Road
1282.0,Quentin Road
1284.0,Quentin Road
1285.0,Pearl Street
1286.0,East 67th Street
1287.0,Calhoun Street
1288.0,Carroll Street
1289.0,Carroll Street
1290.0,Carroll Street
1291.0,Carroll Street
1292.0,Grand Army Plaza
1293.0,East 26th Street
1294.0,East 26th Street
1295.0,East 26th Street
1296.0,East 26th Street
1297.0,East 26th Street
1298.0,Wallaston Court
1299.0,97th Street
1300.0,97th Street
1301.0,97th Street
1302.0,97th Street
1303.0,Water Street
1304.0,Preston Court
1305.0,Saint Felix Street
1306.0,Mother Gaston Boulevard
1307.0,Mother Gaston Boulevard
1308.0,19th Street
1309.0,Creamer Street
1310.0,Herkimer Court
1311.0,Oceana Drive East
